book_id,titulo,autor,genero,descripcion,paginas,ano,portada_url
gOy07Z1AAR8C,Parable of the Talents,Octavia E. Butler,science+fiction,"Parable of the Talents celebrates the classic Butlerian themes of alienation and transcendence, violence and spirituality, slavery and freedom, separation and community, to astonishing effect, in the shockingly familiar, broken world of 2032. Long awaited, Parable of the Talents is the continuation of the travails of Lauren Olamina, the heroine of 1994's Nebula-Prize finalist, bestselling Parable of the Sower. Parable of the Talents is told in the voice of Lauren Olamina's daughter&...from whom she has been separated for most of the girl's life&...with sections in the form of Lauren's journal. Against a background of a war-torn continent, and with a far-right religious crusader in the office of the U.S. presidency, this is a book about a society whose very fabric has been torn asunder, and where the basic physical and emotional needs of people seem almost impossible to meet.",374.0,1998,https://covers.openlibrary.org/b/id/12384358-L.jpg
W1PXSW4R2xsC,Unwind,Neal Shusterman,science+fiction,Three teens embark upon a cross-country journey in order to escape from a society that salvages body parts from children ages thirteen to eighteen.,384.0,2009,https://covers.openlibrary.org/b/id/2787713-L.jpg
BZowiXIDJvQC,The Forge of God,Greg Bear,science+fiction,"Earth is threatened by the invasion of an interstellar research probe gone mad, in a study of the complex interactions--and their ramifications--between human passions and the inflexible equations of science.",484.0,2001,https://covers.openlibrary.org/b/id/603432-L.jpg
nIGWF80AZpwC,A Wrinkle in Time,Madeleine L'Engle,science+fiction,"This special edition ofA Wrinkle in Timeincludes a new essay that explores the science behind the fantasy. Rediscover one of the most beloved children's books of all time:A Wrinkle in Timeby Madeleine L'Engle: Meg Murray, her little brother Charles Wallace, and their mother are having a midnight snack on a dark and stormy night when an unearthly stranger appears at their door. He claims to have been blown off course, and goes on to tell them that there is such a thing as a ""tesseract,"" which, if you didn't know, is a wrinkle in time. Meg's father had been experimenting with time-travel when he suddenly disappeared. Will Meg, Charles Wallace, and their friend Calvin outwit the forces of evil as they search through space for their father?",228.0,1973,https://covers.openlibrary.org/b/id/8709146-L.jpg
R2CXLuo9mzQC,The Collected Stories of Arthur C. Clarke,Arthur C. Clarke,science+fiction,"Introduces readers to the author's shorter works, spanning his entire writing career, including ""The Nine Billion Names of God,"" ""Nemesis,"" ""The Sentinel,"" and ""The Songs of Distant Earth.""",981.0,2002,https://covers.openlibrary.org/b/id/379930-L.jpg
2cl7AgAAQBAJ,Annihilation,Jeff VanderMeer,science+fiction,"Area X has claimed the lives of members of eleven expeditions. The twelfth expedition consisting of four women hopes to map the terrain and collect specimens; to record all their observations, scientific and otherwise, of their surroundings and of one another; and, above all, to avoid being contaminated by Area X itself.",209.0,2014,https://covers.openlibrary.org/b/id/8408974-L.jpg
WXTWAAAAMAAJ,The Long Walk,Richard Bachman,science+fiction,The dystopian classic written by Stephen King under his penname Richard Bachman,388.0,1999,https://covers.openlibrary.org/b/id/14653609-L.jpg
rnWY_tjp9WgC,Ray Bradbury,Jonathan R. Eller,science+fiction,"This is a textual, bibliographical and cultural study of 60 years of Bradbury's fiction. The authors draw upon correspondence with his publishers, agents and friends, as well as archival manuscripts, to examine the story of Bradbury's authorship over more than half a century.",606.0,2004,https://covers.openlibrary.org/b/id/663627-L.jpg
TNyoCwAAQBAJ,The Paper Menagerie and Other Stories,Ken Liu,science+fiction,"Presents the author's selection of his best short stories, as well as a new piece, in a collection that includes ""The Man Who Ended History: A Documentary,"" ""Mono No Aware"" and ""The Waves.""",464.0,2016,https://covers.openlibrary.org/b/id/8529206-L.jpg
MyIukohIVRwC,Wool,Hugh Howey,science+fiction,"In a future toxic landscape, a community that lives in an underground silo is rocked by the desire of Sheriff Holston, who has upheld the group's rules for years, to go outside, setting in motion events that kindle the fire of revolution.",507.0,2013,https://covers.openlibrary.org/b/id/14369537-L.jpg
Coi9AwAAQBAJ,The Giver,Lois Lowry,science+fiction,"Lowry's Newbery Medal-winning classic is now adapted as a major motion picture by The Weinstein Company, starring Oscar] winners Jeff Bridges and Meryl Streep, opening in theaters on August 15th.",257.0,2014,https://covers.openlibrary.org/b/id/8352502-L.jpg
rqDHJ1S9UKsC,Blade Runner,Philip K. Dick,science+fiction,"Captures the strange world of twenty-first-century Earth, a devastated planet in which sophisticated androids, banned from the planet, fight back against their potential destroyers, while bounty hunter Rick Deckard sets out to track down the replicants. Reissue. (Tie-in to the Fall 2007 release of the deluxe twenty-fifth anniversary DVD of the Warner Bros. film, directed by Ridley Scott, starring Harrison Ford, Rutger Hauer, Sean Young, and others) (Science Fiction)",228.0,1982,
6P_jN6zUuMcC,Flowers for Algernon,Daniel Keyes,science+fiction,A mentally retarded adult has a brain operation that turns him into a genius.,324.0,2004,https://covers.openlibrary.org/b/id/12947700-L.jpg
JwKaQ6msi9MC,Scarlet,Marissa Meyer,science+fiction,"In Book Two of the New York Times-bestselling The Lunar Chronicles, Cinder is back and we are introduced to Scarlet. An inventive take on Little Red Riding Hood, get ready for romance, adventure, and high suspense!",463.0,2013,https://covers.openlibrary.org/b/id/7606341-L.jpg
LPllAAAAMAAJ,"Star Wars, Episode III.",Matthew Woodring Stover,science+fiction,"Follows Anakin Skywalker as he struggles with his duty as a Jedi Knight and his role as the secret husband of Senator PadmÃÂÃÂ© Amidala, and chronicles the creation of Darth Vader and the birth of Luke Skywalker and Princess Leia Organa.",440.0,2005,https://covers.openlibrary.org/b/id/6631590-L.jpg
gebBDAAAQBAJ,Death's End,Cixin Liu,science+fiction,"Mutually assured destruction has led to decades of peace between humanity and the Trisolarans, but a new force is awakening and this delicate balance can no longer hold... Half a century after the Doomsday Battle, the uneasy balance of Dark Forest Deterrence keeps the Trisolaran invaders at bay. Earth enjoys unprecedented prosperity due to the infusion of Trisolaran knowledge. With human science advancing daily and the Trisolarans adopting Earth culture, it seems that the two civilizations will soon be able to co-exist peacefully as equals without the terrible threat of mutually assured annihilation. But the peace has also made humanity complacent. Cheng Xin, an aerospace engineer from the early twenty-first century, awakens from hibernation in this new age. She brings with her knowledge of a long-forgotten program dating from the beginning of the Trisolar Crisis, and her very presence may upset the delicate balance between two worlds. Will humanity reach for the stars or die in its cradle? Death's End is the New York Times bestselling conclusion to Cixin Liu's tour-de-force series that began with The Three-Body Problem. ""The War of the Worlds for the twenty-first century . . . Packed with a sense of wonder."" --The Wall Street Journal ""A meditation on technology, progress, morality, extinction, and knowledge that doubles as a cosmos- in-the-balance thriller."" --NPR The Remembrance of Earth's Past Trilogy The Three-Body Problem The Dark Forest Death's End Other Books Ball Lightning (forthcoming)",605.0,2016,https://covers.openlibrary.org/b/id/7893958-L.jpg
y7T0ex_gX_8C,The Day of the Triffids,John Wyndham,science+fiction,Explores the timeless tale of Earth's survival against alien forces (man-eating plants) and blinding meteor showers.,260.0,2003,https://covers.openlibrary.org/b/id/535027-L.jpg
uagsDwAAQBAJ,Station Eleven,Emily St. John Mandel,science+fiction,"An audacious, darkly glittering novel about art, fame, and ambition set in the eerie days of civilization's collapse.DAY ONE The Georgia Flu explodes over the surface of the earth like a neutron bomb. News reports put the mortality rate at over 99%. WEEK TWO Civilization has crumbled. YEAR TWENTY A band of actors and musicians called the Travelling Symphony move through their territories performing concerts and Shakespeare to the settlements that have grown up there. Twenty years after the pandemic, life feels relatively safe. But now a new danger looms, and he threatens the hopeful world every survivor has tried to rebuild. STATION ELEVEN Moving backwards and forwards in time, from the glittering years just before the collapse to the strange and altered world that exists twenty years after, Station Eleven charts the unexpected twists of fate that connect six people: famous actor Arthur Leander; Jeevan - warned about the flu just in time; Arthur's first wife Miranda; Arthur's oldest friend Clark; Kirsten, a young actress with the Travelling Symphony; and the mysterious and self-proclaimed 'prophet'. Thrilling, unique and deeply moving, this is a beautiful novel that asks questions about art and fame and about the relationships that sustain us through anything - even the end of the world.",345.0,2014,https://covers.openlibrary.org/b/id/7369961-L.jpg
